,node_number,edge_number,graph,fw_node_wfs,bw_node_wfs,connected,fw_len,bw_len
113,4,5,"move(1,3). move(2,1). move(2,3). move(2,4). move(3,1).","{'won', 'draw', 'lost'}","{'won', 'lost'}",SAT,3,2
114,4,3,"move(1,3). move(1,4). move(3,1).","{'won', 'lost'}",{'draw'},SAT,2,1
115,4,3,"move(1,4). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
116,4,4,"move(1,3). move(1,4). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
117,4,3,"move(1,4). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
118,4,4,"move(1,4). move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
119,4,4,"move(1,3). move(1,4). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'draw', 'lost'}",SAT,2,3
120,4,3,"move(1,4). move(2,1). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
121,4,5,"move(1,3). move(1,4). move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
122,4,4,"move(1,3). move(1,4). move(2,1). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
123,4,4,"move(1,4). move(2,1). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
124,4,5,"move(1,3). move(1,4). move(2,1). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
125,4,4,"move(1,4). move(2,1). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
126,4,5,"move(1,4). move(2,1). move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
127,4,5,"move(1,3). move(1,4). move(2,1). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
128,4,1,"move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
129,4,6,"move(1,3). move(1,4). move(2,1). move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
130,4,2,"move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
131,4,2,"move(1,3). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
132,4,2,"move(1,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
133,4,3,"move(1,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
